concept_trial,version,conceptno,concept,sequence_filepath
1,D,t17,asztal,sequences/t17/t17_listD.csv
2,B,a19,ló,sequences/a19/a19_listB.csv
3,E,f12,alma,sequences/f12/f12_listE.csv
4,B,l23,erdő,sequences/l23/l23_listB.csv
5,A,ty12,kard,sequences/ty12/ty12_listA.csv
6,E,c28,pulóver,sequences/c28/c28_listE.csv
7,D,t24,seprű,sequences/t24/t24_listD.csv
8,A,ty07,ceruza,sequences/ty07/ty07_listA.csv
9,C,b11,láb,sequences/b11/b11_listC.csv
10,B,pl11,gomba,sequences/pl11/pl11_listB.csv
11,A,c10,nadrág,sequences/c10/c10_listA.csv
12,C,pl24,bab,sequences/pl24/pl24_listC.csv
13,E,p13,gyerek,sequences/p13/p13_listE.csv
14,C,v13,autó,sequences/v13/v13_listC.csv
15,D,f17,eper,sequences/f17/f17_listD.csv
16,C,p35,hercegnő,sequences/p35/p35_listC.csv
17,E,v03,helikopter,sequences/v03/v03_listE.csv
18,A,l02,játszótér,sequences/l02/l02_listA.csv
19,D,b02,szem,sequences/b02/b02_listD.csv
