concept_trial,version,conceptno,concept,sequence_filepath
0,E,c28,pulóver,sequences/c28/c28_listE.csv
1,B,pl11,gomba,sequences/pl11/pl11_listB.csv
2,E,v03,helikopter,sequences/v03/v03_listE.csv
3,D,f12,alma,sequences/f12/f12_listD.csv
4,C,t17,asztal,sequences/t17/t17_listC.csv
5,A,p13,gyerek,sequences/p13/p13_listA.csv
6,E,l02,játszótér,sequences/l02/l02_listE.csv
7,D,ty07,ceruza,sequences/ty07/ty07_listD.csv
8,B,b02,szem,sequences/b02/b02_listB.csv
9,A,a05,kacsa,sequences/a05/a05_listA.csv
10,C,c10,nadrág,sequences/c10/c10_listC.csv
